# --- This is a generated file --- -*- toyunda -*-
{0}{0}{needed at beginning of file for file format recognition by mplayer}
# --- LYRICS - GENERATE AGAIN AFTER YOU EDIT ---
--%color 00FFFF 0000FF 0080FF
--&ko&wa&i &yo&ru &wo
--&ka&zo&e&te&ru
--&fu&ta&ri &da&ke &no
--&hi&mi&tsu &to &chuu&mon
--&ko&wa&re&so&u &na
{621}{631}||{c:$0000FFFF:$FF00FFFF}   o     
{622}{632}||{c:$0000FFFF:$FF00FFFF}    e    
{623}{628}{c:$FF0080FF:$000080FF}k            
{623}{633}||{c:$0000FFFF:$FF00FFFF}     t   
{623}{634}{c:$FF0080FF}           w 
{623}{635}{c:$FF0080FF}            o
{624}{629}{c:$FF0080FF:$000080FF} o           
{624}{634}||{c:$0000FFFF:$FF00FFFF}      e  
{625}{630}{c:$FF0080FF:$000080FF}  w          
{625}{635}||{c:$0000FFFF:$FF00FFFF}       r 
{626}{631}{c:$FF0080FF:$000080FF}   a         
{626}{636}||{c:$0000FFFF:$FF00FFFF}        u
{627}{632}{c:$FF0080FF:$000080FF}    i        
{628}{663}||{c:$FF00FFFF}k        
{629}{634}{c:$FF0080FF:$000080FF}      y      
{629}{663}||{c:$FF00FFFF} a       
{630}{635}{c:$FF0080FF:$000080FF}       o     
{630}{684}||{c:$FF00FFFF}  z      
{631}{636}{c:$FF0080FF:$000080FF}        r    
{631}{684}||{c:$FF00FFFF}   o     
{632}{637}{c:$FF0080FF:$000080FF}         u   
{632}{707}||{c:$FF00FFFF}    e    
{633}{728}||{c:$FF00FFFF}     t   
{634}{639}{c:$FF0080FF:$000080FF}           w 
{634}{728}||{c:$FF00FFFF}      e  
{635}{640}{c:$FF0080FF:$000080FF}            o
{635}{759}||{c:$FF00FFFF}       r 
{636}{759}||{c:$FF00FFFF}        u
{663}{679}||{c:$FF0000FF:$FF0080FF} a       
{663}{679}||{c:$FF0000FF:$FF0080FF}k        
{663}{679}|||ÿ       
{679}{782}||{c:$FF0080FF}k        
{679}{783}||{c:$FF0080FF} a       
{684}{702}||{c:$FF0000FF:$FF0080FF}   o     
{684}{702}||{c:$FF0000FF:$FF0080FF}  z      
{684}{702}|||  ÿ     
{702}{784}||{c:$FF0080FF}  z      
{702}{785}||{c:$FF0080FF}   o     
{707}{723}||{c:$FF0000FF:$FF0080FF}    e    
{707}{723}|||    ÿ    
{723}{786}||{c:$FF0080FF}    e    
{728}{754}||{c:$FF0000FF:$FF0080FF}      e  
{728}{754}||{c:$FF0000FF:$FF0080FF}     t   
{728}{754}|||     ÿ  
{754}{787}||{c:$FF0080FF}     t   
{754}{788}||{c:$FF0080FF}      e  
{759}{782}||{c:$FF0000FF:$FF0080FF}        u
{759}{782}||{c:$FF0000FF:$FF0080FF}       r 
{759}{782}|||       ÿ
{781}{791}{c:$0000FFFF:$FF00FFFF}f             
{782}{787}||{c:$FF0080FF:$000080FF}k        
{782}{789}||{c:$FF0080FF}       r 
{782}{790}||{c:$FF0080FF}        u
{782}{792}{c:$0000FFFF:$FF00FFFF} u            
{783}{788}||{c:$FF0080FF:$000080FF} a       
{783}{793}{c:$0000FFFF:$FF00FFFF}  t           
{784}{789}||{c:$FF0080FF:$000080FF}  z      
{784}{794}{c:$0000FFFF:$FF00FFFF}   a          
{785}{790}||{c:$FF0080FF:$000080FF}   o     
{785}{795}{c:$0000FFFF:$FF00FFFF}    r         
{786}{791}||{c:$FF0080FF:$000080FF}    e    
{786}{796}{c:$0000FFFF:$FF00FFFF}     i        
{787}{792}||{c:$FF0080FF:$000080FF}     t   
{788}{793}||{c:$FF0080FF:$000080FF}      e  
{788}{798}{c:$0000FFFF:$FF00FFFF}       d      
{789}{794}||{c:$FF0080FF:$000080FF}       r 
{789}{799}{c:$0000FFFF:$FF00FFFF}        a     
{790}{795}||{c:$FF0080FF:$000080FF}        u
{790}{800}{c:$0000FFFF:$FF00FFFF}         k    
{791}{801}{c:$0000FFFF:$FF00FFFF}          e   
{791}{826}{c:$FF00FFFF}f             
{792}{826}{c:$FF00FFFF} u            
{793}{803}{c:$0000FFFF:$FF00FFFF}            n 
{793}{830}{c:$FF00FFFF}  t           
{794}{804}{c:$0000FFFF:$FF00FFFF}             o
{794}{830}{c:$FF00FFFF}   a          
{795}{848}{c:$FF00FFFF}    r         
{796}{848}{c:$FF00FFFF}     i        
{798}{869}{c:$FF00FFFF}       d      
{799}{869}{c:$FF00FFFF}        a     
{800}{890}{c:$FF00FFFF}         k    
{801}{890}{c:$FF00FFFF}          e   
{803}{922}{c:$FF00FFFF}            n 
{804}{922}{c:$FF00FFFF}             o
{826}{830}{c:$FF0000FF:$FF0080FF} u            
{826}{830}{c:$FF0000FF:$FF0080FF}f             
{826}{830}|ÿ            
{830}{843}{c:$FF0000FF:$FF0080FF}   a          
{830}{843}{c:$FF0000FF:$FF0080FF}  t           
{830}{843}|  ÿ          
{830}{950}{c:$FF0080FF}f             
{830}{951}{c:$FF0080FF} u            
{843}{952}{c:$FF0080FF}  t           
{843}{953}{c:$FF0080FF}   a          
{848}{864}{c:$FF0000FF:$FF0080FF}     i        
{848}{864}{c:$FF0000FF:$FF0080FF}    r         
{848}{864}|    ÿ        
{864}{954}{c:$FF0080FF}    r         
{864}{955}{c:$FF0080FF}     i        
{869}{885}{c:$FF0000FF:$FF0080FF}        a     
{869}{885}{c:$FF0000FF:$FF0080FF}       d      
{869}{885}|       ÿ     
{885}{957}{c:$FF0080FF}       d      
{885}{958}{c:$FF0080FF}        a     
{890}{917}{c:$FF0000FF:$FF0080FF}          e   
{890}{917}{c:$FF0000FF:$FF0080FF}         k    
{890}{917}|         ÿ   
{917}{959}{c:$FF0080FF}         k    
{917}{960}{c:$FF0080FF}          e   
{922}{950}{c:$FF0000FF:$FF0080FF}             o
{922}{950}{c:$FF0000FF:$FF0080FF}            n 
{922}{950}|            ÿ
{944}{954}||{c:$0000FFFF:$FF00FFFF}h                 
{945}{955}||{c:$0000FFFF:$FF00FFFF} i                
{946}{956}||{c:$0000FFFF:$FF00FFFF}  m               
{947}{957}||{c:$0000FFFF:$FF00FFFF}   i              
{948}{958}||{c:$0000FFFF:$FF00FFFF}    t             
{949}{959}||{c:$0000FFFF:$FF00FFFF}     s            
{950}{955}{c:$FF0080FF:$000080FF}f             
{950}{960}||{c:$0000FFFF:$FF00FFFF}      u           
{950}{962}{c:$FF0080FF}            n 
{950}{963}{c:$FF0080FF}             o
{951}{956}{c:$FF0080FF:$000080FF} u            
{952}{957}{c:$FF0080FF:$000080FF}  t           
{952}{962}||{c:$0000FFFF:$FF00FFFF}        t         
{953}{958}{c:$FF0080FF:$000080FF}   a          
{953}{963}||{c:$0000FFFF:$FF00FFFF}         o        
{954}{959}{c:$FF0080FF:$000080FF}    r         
{954}{989}||{c:$FF00FFFF}h                 
{955}{960}{c:$FF0080FF:$000080FF}     i        
{955}{965}||{c:$0000FFFF:$FF00FFFF}           c      
{955}{989}||{c:$FF00FFFF} i                
{956}{966}||{c:$0000FFFF:$FF00FFFF}            h     
{956}{994}||{c:$FF00FFFF}  m               
{957}{962}{c:$FF0080FF:$000080FF}       d      
{957}{967}||{c:$0000FFFF:$FF00FFFF}             u    
{957}{994}||{c:$FF00FFFF}   i              
{958}{1011}||{c:$FF00FFFF}    t             
{958}{963}{c:$FF0080FF:$000080FF}        a     
{958}{968}||{c:$0000FFFF:$FF00FFFF}              u   
{959}{1011}||{c:$FF00FFFF}     s            
{959}{964}{c:$FF0080FF:$000080FF}         k    
{959}{969}||{c:$0000FFFF:$FF00FFFF}               m  
{960}{1011}||{c:$FF00FFFF}      u           
{960}{965}{c:$FF0080FF:$000080FF}          e   
{960}{970}||{c:$0000FFFF:$FF00FFFF}                o 
{961}{971}||{c:$0000FFFF:$FF00FFFF}                 n
{962}{1032}||{c:$FF00FFFF}        t         
{962}{967}{c:$FF0080FF:$000080FF}            n 
{963}{1032}||{c:$FF00FFFF}         o        
{963}{968}{c:$FF0080FF:$000080FF}             o
{965}{1055}||{c:$FF00FFFF}           c      
{966}{1055}||{c:$FF00FFFF}            h     
{967}{1055}||{c:$FF00FFFF}             u    
{968}{1055}||{c:$FF00FFFF}              u   
{969}{1085}||{c:$FF00FFFF}               m  
{970}{1085}||{c:$FF00FFFF}                o 
{971}{1085}||{c:$FF00FFFF}                 n
{989}{994}||{c:$FF0000FF:$FF0080FF} i                
{989}{994}||{c:$FF0000FF:$FF0080FF}h                 
{989}{994}|||ÿ                
{994}{1006}||{c:$FF0000FF:$FF0080FF}   i              
{994}{1006}||{c:$FF0000FF:$FF0080FF}  m               
{994}{1006}|||  ÿ              
{994}{1112}||{c:$FF0080FF}h                 
{994}{1113}||{c:$FF0080FF} i                
# --- TIMING - GENERATE AGAIN AFTER YOU EDIT ---
==#ko
==500 504
==#wa
==504 518
==#i 
==523 538
==#yo
==543 559
==#ru 
==564 589
==#wo
==594 623
==#ka
==663 679
==#zo
==684 702
==#e
==707 723
==#te
==728 754
==#ru
==759 782
==#fu
==826 830
==#ta
==830 843
==#ri 
==848 864
==#da
==869 885
==#ke 
==890 917
==#no
==922 950
==#hi
==989 994
==#mi
==994 1006
==#tsu 
==1011 1027
==#to 
==1032 1050
==#chuu
==1055 1080
==#mon
==1085 1112
==#ko
==1155 1170
==#wa
==1175 1190
==#re
==1195 1209
==#so
==1214 1232
==#u 
==1237 1242
==#na
==1247 1272
==#o
==1321 1333
==#mo
==1338 1352
==#i 
==1357 1374
==#no
==1379 1393
==#se
==1398 1404
==#te 
==1409 1427
==#to
==1432 1441
==#na
==1441 1451
==#e
==1451 1460
==#te
==1460 1470
==#ku
==1470 1479
==#ho
==1484 1498
==#ra 
==1503 1516
==#fu
==1521 1536
==#a
==1541 1557
==#n 
==1562 1569
==#wa
==1574 1604
==#i
==1646 1659
==#ta
==1664 1680
==#mi 
==1685 1700
==#no 
==1705 1721
==#na
==1726 1732
==#ka
==1737 1760
==#ho
==1809 1823
==#o 
==1828 1843
==#shi
==1848 1865
==#zu
==1870 1885
==#ka 
==1890 1894
==#ni
==1899 1929
==#ko
==1971 1986
==#mo
==1992 2008
==#ru 
==2013 2028
==#hi
==2033 2049
==#ru
==2054 2058
==#i
==2063 2098
